characterName,actorName,episode,season,characterType,firstName
Daphne Moon,Jane Leeves,1,1,main,Daphne
Delivery Man,Cleto Augusto,1,1,other,Delivery
Frasier Crane,Kelsey Grammer,1,1,main,Frasier
Niles Crane,David Hyde Pierce,1,1,main,Niles
Eddie,Moose,1,1,recurring,Eddie
Claire,Linda Hamilton,1,1,other,Claire
Russell,Griffin Dunne,1,1,other,Russell
Martin Crane,John Mahoney,1,1,main,Martin
Roz Doyle,Peri Gilpin,1,1,main,Roz
Waitress,Gina Ravera,1,1,other,Waitress
Bulldog Briscoe,Dan Butler,2,1,recurring,Bulldog
Daphne Moon,Jane Leeves,2,1,main,Daphne
Frasier Crane,Kelsey Grammer,2,1,main,Frasier
Niles Crane,David Hyde Pierce,2,1,main,Niles
Leonard,Christopher Reeve,2,1,other,Leonard
Martin Crane,John Mahoney,2,1,main,Martin
Roz Doyle,Peri Gilpin,2,1,main,Roz
Daphne Moon,Jane Leeves,3,1,main,Daphne
Frasier Crane,Kelsey Grammer,3,1,main,Frasier
Niles Crane,David Hyde Pierce,3,1,main,Niles
Eddie,Moose,3,1,recurring,Eddie
Hostess,Eve Brent,3,1,other,Hostess
Martin Crane,John Mahoney,3,1,main,Martin
Pam,Patti LuPone,3,1,other,Pam
Roz Doyle,Peri Gilpin,3,1,main,Roz
Waitress,Laurie Walton,3,1,recurring,Waitress
Daphne Moon,Jane Leeves,4,1,main,Daphne
Derek Mann,Joe Mantegna,4,1,other,Derek
Frasier Crane,Kelsey Grammer,4,1,main,Frasier
Niles Crane,David Hyde Pierce,4,1,main,Niles
Eddie,Moose,4,1,recurring,Eddie
Harry the Cop,John Brandon,4,1,other,Harry
Lorraine,Judith Ivey,4,1,other,Lorraine
Martin Crane,John Mahoney,4,1,main,Martin
Roz Doyle,Peri Gilpin,4,1,main,Roz
Waiter,Dean Erickson,4,1,recurring,Waiter
Aunt Patrice,Kathleen Noone,5,1,other,Aunt
Daphne Moon,Jane Leeves,5,1,main,Daphne
Doug,Jeff Daniels,5,1,other,Doug
Frasier Crane,Kelsey Grammer,5,1,main,Frasier
