characterName,actorName,season,episode,characterType,firstName
Episode complete credited cast:,Episode complete credited cast:,1,1,NA,Episode
Frasier Crane,Kelsey Grammer,1,1,main,Frasier
Daphne Moon,Jane Leeves,1,1,main,Daphne
Niles Crane,David Hyde Pierce,1,1,main,Niles
Roz Doyle,Peri Gilpin,1,1,main,Roz
Martin Crane,John Mahoney,1,1,main,Martin
Claire,Linda Hamilton,1,1,other,Claire
Russell,Griffin Dunne,1,1,other,Russell
Delivery Man,Cleto Augusto,1,1,other,Delivery
Waitress,Gina Ravera,1,1,other,Waitress
Eddie,Moose,1,1,recurring,Eddie
Episode complete credited cast:,Episode complete credited cast:,1,2,NA,Episode
Frasier Crane,Kelsey Grammer,1,2,main,Frasier
Daphne Moon,Jane Leeves,1,2,main,Daphne
Niles Crane,David Hyde Pierce,1,2,main,Niles
Roz Doyle,Peri Gilpin,1,2,main,Roz
Martin Crane,John Mahoney,1,2,main,Martin
Bulldog Briscoe,Dan Butler,1,2,recurring,Bulldog
Clarice Warner,Constance Towers,1,2,other,Clarice
Mrs. Warner,Myra Carter,1,2,other,Mrs.
Gil Chesterton,Edward Hibbert,1,2,recurring,Gil
Thomas Jay Fallow,John O'Hurley,1,2,other,Thomas
Amber Edwards,Susan Brown,1,2,other,Amber
Date,David Sederholm,1,2,other,Date
Eddie,Moose,1,2,recurring,Eddie
Steven,James Spader,1,2,other,Steven
Episode complete credited cast:,Episode complete credited cast:,1,3,NA,Episode
Frasier Crane,Kelsey Grammer,1,3,main,Frasier
Daphne Moon,Jane Leeves,1,3,main,Daphne
Niles Crane,David Hyde Pierce,1,3,main,Niles
Roz Doyle,Peri Gilpin,1,3,main,Roz
Martin Crane,John Mahoney,1,3,main,Martin
Bulldog Briscoe,Dan Butler,1,3,recurring,Bulldog
Gil Chesterton,Edward Hibbert,1,3,recurring,Gil
Father Mike,George DelHoyo,1,3,other,Father
Mark,Matthew Broderick,1,3,other,Mark
Phyllis,Carrie Fisher,1,3,other,Phyllis
Nancy,Teri Garr,1,3,other,Nancy
Keith,Tom Hulce,1,3,other,Keith
Kate Costas,Mercedes Ruehl,1,3,recurring,Kate
Episode complete credited cast:,Episode complete credited cast:,1,4,NA,Episode
Frasier Crane,Kelsey Grammer,1,4,main,Frasier
Daphne Moon,Jane Leeves,1,4,main,Daphne
Niles Crane,David Hyde Pierce,1,4,main,Niles
Roz Doyle,Peri Gilpin,1,4,main,Roz
Martin Crane,John Mahoney,1,4,main,Martin
Clive,Scott Atkinson,1,4,other,Clive
Gil Chesterton,Edward Hibbert,1,4,recurring,Gil
Episode complete credited cast:,Episode complete credited cast:,1,5,NA,Episode
Frasier Crane,Kelsey Grammer,1,5,main,Frasier
Daphne Moon,Jane Leeves,1,5,main,Daphne
Niles Crane,David Hyde Pierce,1,5,main,Niles
Roz Doyle,Peri Gilpin,1,5,main,Roz
Bulldog Briscoe,Dan Butler,1,5,recurring,Bulldog
Martin Crane,John Mahoney,1,5,main,Martin
Kelly Easterbrook,Sela Ward,1,5,other,Kelly
Joanne,Lisa Guerrero,1,5,other,Joanne
Felicity,Kimberly Oja,1,5,other,Felicity
Waiter,Andrew Philpot,1,5,recurring,Waiter
Stewardess,Leslie Ishii,1,5,other,Stewardess
Episode complete credited cast:,Episode complete credited cast:,1,6,NA,Episode
Frasier Crane,Kelsey Grammer,1,6,main,Frasier
Daphne Moon,Jane Leeves,1,6,main,Daphne
Niles Crane,David Hyde Pierce,1,6,main,Niles
Roz Doyle,Peri Gilpin,1,6,main,Roz
Bulldog Briscoe,Dan Butler,1,6,recurring,Bulldog
Martin Crane,John Mahoney,1,6,main,Martin
Kenny Daly,Tom McGowan,1,6,recurring,Kenny
Doris,Kandis Chappell,1,6,other,Doris
Aaron,Fran Kranz,1,6,other,Aaron
Tooty,Marsha Kramer,1,6,other,Tooty
Director,Timothy Omundson,1,6,other,Director
George,Robert Arce,1,6,other,George
Waitress,Dawn McMillan,1,6,recurring,Waitress
Caterer,Craig Green,1,6,other,Caterer
Gil Chesterton,Edward Hibbert,1,6,recurring,Gil
Episode complete credited cast:,Episode complete credited cast:,1,7,NA,Episode
Frasier Crane,Kelsey Grammer,1,7,main,Frasier
Daphne Moon,Jane Leeves,1,7,main,Daphne
Niles Crane,David Hyde Pierce,1,7,main,Niles
Roz Doyle,Peri Gilpin,1,7,main,Roz
Martin Crane,John Mahoney,1,7,main,Martin
Mia Preston Hester Crane,Rita Wilson,1,7,other,Mia
Francesca,Georgia Emelin,1,7,other,Francesca
Jessica,Delaina Mitchell,1,7,other,Jessica
Young Frasier,Dustin Tragethon,1,7,recurring,Young
Young Niles,Sean Cast,1,7,recurring,Young
Episode complete credited cast:,Episode complete credited cast:,1,8,NA,Episode
Frasier Crane,Kelsey Grammer,1,8,main,Frasier
Daphne Moon,Jane Leeves,1,8,main,Daphne
Niles Crane,David Hyde Pierce,1,8,main,Niles
Roz Doyle,Peri Gilpin,1,8,main,Roz
Martin Crane,John Mahoney,1,8,main,Martin
Mel Karnofsky,Jane Adams,1,8,recurring,Mel
Donny Douglas,Saul Rubinek,1,8,recurring,Donny
Delivery Man,Tim Rhoze,1,8,other,Delivery
Simon Moon,Anthony LaPaglia,1,8,recurring,Simon
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",1,9,NA,Episode
Frasier Crane,Kelsey Grammer,1,9,main,Frasier
Daphne Moon,Jane Leeves,1,9,main,Daphne
Niles Crane,David Hyde Pierce,1,9,main,Niles
Roz Doyle,Peri Gilpin,1,9,main,Roz
Martin Crane,John Mahoney,1,9,main,Martin
Diane Chambers,Shelley Long,1,9,other,Diane
Lilith Sternin,Bebe Neuwirth,1,9,recurring,Lilith
Lana Gardner,Jean Smart,1,9,recurring,Lana
Claire French,Patricia Clarkson,1,9,recurring,Claire
Bob,Brian Kerwin,1,9,other,Bob
Kirby,Brian Klugman,1,9,recurring,Kirby
Kristi,Morgan Nagler,1,9,other,Kristi
Maintenance Guy,Ted Lyde,1,9,other,Maintenance
Luggage Clerk,Christopher Reed,1,9,other,Luggage
Photographer,Rick Negron,1,9,other,Photographer
Episode complete credited cast:,Episode complete credited cast:,1,10,NA,Episode
Frasier Crane,Kelsey Grammer,1,10,main,Frasier
Daphne Moon,Jane Leeves,1,10,main,Daphne
Niles Crane,David Hyde Pierce,1,10,main,Niles
Roz Doyle,Peri Gilpin,1,10,main,Roz
Martin Crane,John Mahoney,1,10,main,Martin
Gertrude Moon,Millicent Martin,1,10,recurring,Gertrude
