episode,title,directedBy,writtenBy,originalAirDate,viewershipInMillions,season,imdbVotes,imdbRatings
1,The Good Son,James Burrows,David Angell & Peter Casey & David Lee,1993-09-16,28,1,528,8.8
2,Space Quest,James Burrows,Sy Dukane & Denise Moss,1993-09-23,29,1,498,8.6
3,Dinner at Eight,James Burrows,Anne Flett & Chuck Ranberg,1993-09-30,28,1,459,8.3
4,I Hate Frasier Crane,David Lee,Christopher Lloyd,1993-10-07,28,1,517,8.8
5,Here's Looking at You,Andy Ackerman,Brad Hall,1993-10-14,30,1,441,7.6
6,The Crucible,James Burrows,Sy Dukane & Denise Moss,1993-10-21,28,1,460,8.1
7,Call Me Irresponsible,James Burrows,Anne Flett & Chuck Ranberg,1993-10-28,27,1,439,7.9
8,Beloved Infidel,Andy Ackerman,Leslie Eberhard,1993-11-04,29,1,488,8.6
9,Selling Out,Andy Ackerman,Lloyd Garver,1993-11-11,28,1,484,8.3
10,Oops!,James Burrows,Denise Moss & Sy Dukane,1993-11-18,29,1,461,7.9
11,Death Becomes Him,Andy Ackerman,Leslie Eberhard,1993-12-02,30,1,472,7.8
12,Miracle on Third or Fourth Street,James Burrows,Christopher Lloyd,1993-12-16,32,1,476,8
13,Guess Who's Coming to Breakfast?,Andy Ackerman,Molly Newman,1994-01-06,30,1,526,8.5
14,Can't Buy Me Love,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1994-01-20,32,1,460,7.8
15,You Can't Tell a Crook by His Cover,Andy Ackerman,David Lloyd,1994-01-27,30,1,475,8
16,The Show Where Lilith Comes Back,James Burrows,Ken Levine & David Isaacs,1994-02-03,33,1,481,8
17,A Mid-Winter Night's Dream,David Lee,Chuck Ranberg & Anne Flett-Giordano,1994-02-10,32,1,482,8.1
18,And the Whimper Is...,James Burrows,Denise Moss & Sy Dukane,1994-02-17,NA,1,493,8
19,Give Him the Chair!,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1994-03-17,29,1,498,7.8
20,Fortysomething,Rick Beren,Sy Dukane & Denise Moss,1994-03-31,27,1,511,8
21,Travels with Martin,James Burrows,Linda Morris & Vic Rauseo,1994-04-14,25,1,525,7.9
22,"Author, Author",James Burrows,Don Seigel & Jerry Perzigian,1994-05-05,26,1,550,8.2
23,Frasier Crane's Day Off,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1994-05-12,28,1,549,8.1
24,My Coffee with Niles,James Burrows,David Angell & Peter Casey,1994-05-19,29,1,730,8.6
1,Slow Tango in South Seattle,James Burrows,Martin Weiss,1994-09-20,28,2,396,8.3
2,The Unkindest Cut of All,Rick Beren,Dave Hackel,1994-09-27,29,2,567,9
3,The Matchmaker,David Lee,Joe Keenan,1994-10-04,28,2,408,8.4
4,Flour Child,James Burrows,Christopher Lloyd,1994-10-11,27,2,494,8.9
5,"Duke's, We Hardly Knew Ye",James Burrows,Linda Morris & Vic Rauseo,1994-10-18,29,2,392,8.3
6,The Botched Language of Cranes,David Lee,Joe Keenan,1994-11-01,30,2,382,8.2
7,The Candidate,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1994-11-08,29,2,383,8.1
8,Adventures in Paradise: Part 1,James Burrows,Ken Levine & David Isaacs,1994-11-15,31,2,478,8.9
9,Adventures in Paradise: Part 2,James Burrows,Ken Levine & David Isaacs,1994-11-22,NA,2,441,8.1
10,Burying a Grudge,Andy Ackerman,David Lloyd,1994-11-29,22,2,405,8
11,Seat of Power,James Burrows,Steven Levitan,1994-12-13,34,2,377,7.9
12,Roz in the Doghouse,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1995-01-03,29,2,397,8.3
13,Retirement is Murder,Alan Myserson,Elias Davis & David Pollock,1995-01-10,32,2,382,8
